"Bacterial_human_pathogens","state","pathogen_class"
"Eubacterium sulci",,4
"Eubacterium tenue",,4
"Eubacterium timidum",,4
"Eubacterium tortuosum",,4
"Eubacterium ventriosum",,4
"Eubacterium yurii mararetiae",,4
"Eubacterium yurii schtitka",,4
"Eubacterium yurii yurii",,4
"Ewingella americana",,3
"Exiguobacterium acetylicum",,4
"Exiguobacterium aurantiacum",,4
"Facklamia hominis",,4
"Facklamia ignava",,4
"Facklamia languida",,4
"Facklamia sourekii",,4
"Filifactor alocis",,4
"Filifactor vilosus",,4
"Finegoldia magna",,4
"Flavimonas oryzihabitans","alias",4
"Flavobacterium meningosepticum","alias",3
"Flavobacterium mizutaii",,4
"Flexispira rapinni","alias",4
"Flexispira rappini",,4
"Francisella hispaniensis",,4
"Francisella philomiragia",,4
"Francisella tularensis holarctica",,1
"Francisella tularensis mediasiatica",,1
"Francisella tularensis novicida",,1
"Francisella tularensis tularensis",,1
"Fusobacterium gonidiaformans",,3
"Fusobacterium mortiferum",,3
"Fusobacterium naviforme",,3
"Fusobacterium necrogenes",,3
"Fusobacterium necrophorum fundiliforme",,2
"Fusobacterium necrophorum necrophorum",,2
"Fusobacterium nucleatum fusiforme",,3
"Fusobacterium nucleatum nucleatum",,3
"Fusobacterium nucleatum polymorphum",,3
"Fusobacterium nucleatum vincentii",,3
"Fusobacterium periodonticum",,3
"Fusobacterium russii",,3
"Fusobacterium ulcerans",,3
"Fusobacterium varium",,3
"Gardnerella vaginalis",,3
"Gastrospirillum hominis","alias",4
"Gemella asaccharolytica",,3
"Gemella bergeri",,3
"Gemella haemolysins",,3
"Gemella morbillorum",,3
"Gemella parahaemolysans",,3
"Gemella sanguinis",,3
"Gemella taiwanensis",,3
"Globicatella sanguinis",,3
"Gordonia aichensis",,4
"Gordonia araii",,4
"Gordonia bronchialis",,4
"Gordonia effuse",,4
"Gordonia iterans",,4
"Gordonia otitidis",,4
"Gordonia polyisoprenivorans",,4
"Gordonia rubropertinctus",,4
"Gordonia sputi",,3
"Gordonia terrae",,3
"Granulicatella adiacens",,3
"Grimontia hollisae",,4
"Haemophilus actinomycetemcomitans","alias",3
"Haemophilus aegyptius",,3
"Haemophilus aphrophilus","alias",3
"Haemophilus ducreyi",,3
"Haemophilus influenzae",,1
"Haemophilus parainfluenzae",,2
"Haemophilus paraphrophilus","alias",3
"Haemophilus pittmaniae",,3
"Haemophilus segnis","alias",3
"Hafnia alvei",,3
"Hafnia paralvei",,3
"Halomonas phocaensis",,4
"Halomonas stevensii",,4
"Halomonas venusta",,4
"Hazenella coriacea",,4
"Helcobacillus massiliensis",,4
"Helcococcus kunzii",,4
"Helcococcus pyogenica",,4
"Helcococcus sueciensis",,4
"Helicobacter bilis",,4
"Helicobacter bizzozeronii",,4
"Helicobacter canadensis",,4
"Helicobacter canis",,4
"Helicobacter cinaedi",,4
"Helicobacter felis",,4
"Helicobacter fennelliae","alias",4
"Helicobacter heilmannii",,4
"Helicobacter pullorum",,4
"Helicobacter pylori",,4
"Helicobacter salomonis",,4
"Helicobacter suis",,4
"Helicobacter westmeadii",,4
"Helicobacter winghamensis",,4
"Herbaspirillum sp.",,4
"Holdemania filiformis",,4
"Ignatzschineria larvae",,4
"Ignavigranum ruoffiae",,4
"Inquilinus limosus",,4
"Janibacter melonis",,4
"Johnsonella ignava",,4
"Kerstersia ascorbate",,4
"Kerstersia cryocrescens",,4
"Kerstersia georgiana",,4
"Kerstersia intermedia",,4
"Kingella denitrificans",,4
"Kingella indologenes","alias",4
"Kingella kingae",,3
"Kingella oralis",,4
"Kingella potus",,3
"Klebsiella granulomatis",,3
"Klebsiella oxytoca",,3
"Klebsiella pneumoniae","ssp",2
"Klebsiella pneumoniae ssp. ozaenae",,2
"Klebsiella pneumoniae ssp. pneumoniae",,2
"Klebsiella pneumoniae ssp. rhinoscleromatis",,2
"Klebsiella quasipneumoniae",,3
"Klebsiella variicola",,3
"Kluyvera ascorbate",,3
"Kluyvera cryocrescens",,3
"Kluyvera georgiana",,3
"Kluyvera intermedia",,3
"Kocuria kristinae",,4
"Kocuria rosea",,3
"Kocuria varians",,3
"Koserella trabulsii","alias",4
"Kurthia bessonii",,4
"Kurthia gibsonii",,4
"Kurthia zopfii",,4
"Kytococcus schroeteri",,4
"Kytococcus sedentarius",,4
"Lactobacillus acidophilus",,4
"Lactobacillus brevis",,4
"Lactobacillus casei",,4
"Lactobacillus catenaformis","alias",4
"Lactobacillus coleohominis",,4
"Lactobacillus crispatus",,4
"Lactobacillus fermentum",,4
"Lactobacillus gasseri",,4
"Lactobacillus iners",,4
"Lactobacillus jensenii",,4
"Lactobacillus leichmannii",,4
"Lactobacillus minutus","alias",4
"Lactobacillus oris",,4
"Lactobacillus paracasei",,4
"Lactobacillus paraplantarum",,4
"Lactobacillus plantarum",,4
"Lactobacillus rhamnosus",,4
"Lactobacillus rimae","alias",4
"Lactobacillus salivarius",,4
"Lactobacillus uli","alias",4
"Lactobacillus vaginalis",,4
"Lactococcus garvieae",,3
"Lactococcus lactis",,3
"Lautropia mirabilis",,4
"Leclercia adecarboxylata",,3
"Legionella anisa",,4
"Legionella birminghamensis",,4
"Legionella bozemanae",,4
"Legionella bozemanii","alias",4
"Legionella cardiaca",,4
"Legionella cincinnatiensis",,4
"Legionella dumoffii",,4
"Legionella feeleii",,4
"Legionella gormanii",,4
"Legionella hackeliae",,4
"Legionella israelensis",,4
"Legionella jordanis",,4
"Legionella lansingensis",,4
"Legionella longbeachae",,4
"Legionella lytica",,4
"Legionella maceachernii",,4
"Legionella micdadei",,4
"Legionella nagasakiensis",,4
"Legionella oakridgemsis",,4
"Legionella pittsburghensis","alias",4
"Legionella pneumophila",,3
"Legionella quinlivanii",,4
"Legionella rubrilucens",,4
"Legionella sainthelensi",,4
"Legionella steelei",,4
"Legionella tucsonensis",,4
"Legionella wadsworthia",,4
"Legionella worsleiensis",,4
"Leifsonia aquatica",,3
"Leminorella grimontii",,4
"Leminorella richardii",,4
"Leptospira biflexa",,2
"Leptospira borgpetersenii",,1
"Leptospira broomii",,2
"Leptospira hongkonensis",,2
"Leptospira idonii",,2
"Leptospira inadai",,2
"Leptospira interrogans",,1
"Leptospira kirschneri",,1
"Leptospira licerasiae",,2
"Leptospira mayottensis",,2
"Leptospira noguchii",,1
"Leptospira santarosai",,2
"Leptospira weilii",,1
"Leptospira wolfii",,2
"Leptotrichia buccalis",,4
"Leptotrichia goodfellowii",,4
"Leptotrichia sanguinegens","alias",4
"Leptotrichia shahii",,4
"Leptotrichia trevisanii",,3
"Leuconostoc citreum",,4
"Leuconostoc lactis",,4
"Leuconostoc mesenteroides","ssp",3
"Leuconostoc mesenteroides ssp. cremoris",,3
"Leuconostoc mesenteroides ssp. dextranicum",,3
"Leuconostoc mesenteroides ssp. mesenteroide",,3
"Leuconostoc pseudomesenteroides",,3
"Listeria grayi",,3
"Listeria ivanovii",,3
"Listeria monocytogenes",,1
"Listeria seeligeri",,3
"Listonella damsela","alias",4
"Luteibacter anthropi",,4
"Luteococcus peritonei",,4
"Luteococcus sanguinis",,4
"Lysinibacillus massiliensis",,4
"Lysinibacillus meyeri",,4
"Lysinibacillus sphaericus",,3
"M. massiliensis",,4
"Massilia consociata",,4
"Massilia haematophila",,4
"Massilia oculi",,4
"Massilia timonae",,3
"Massilia varians",,4
"Megasphaera elsdenii",,4
"Megasphaera micronuciformis",,4
"Mesorhizobium amorphae",,4
"Methylobacterium extorquens",,4
"Methylobacterium mesophilicum",,3
"Microbacterium arborescens",,4
"Microbacterium binotii",,4
"Microbacterium imperiale",,4
"Microbacterium liquefaciens",,4
"Microbacterium oxydans",,4
"Microbacterium paraoxydans",,4
"Microbacterium resistens",,4
"Microbacterium trichothecenolyticum",,4
"Micrococcus luteus",,3
"Micrococcus lytae",,3
"Micrococcus mucilaginosus","alias",3
"Mitsuokella multocida",,4
"Mobiluncus curtisii curtisii",,4
"Mobiluncus curtisii holmesii",,4
"Mobiluncus mulieris",,4
"Moellerella wisconsensis",,4
"Mogibacterium diversum",,4
"Mogibacterium neglectum",,4
"Moheibacter brevis",,4
"Moraxella atlantae",,2
"Moraxella catarrhalis",,2
"Moraxella lacunata",,2
"Moraxella nonliquefaciens",,2
"Moraxella osloensis",,2
"Moraxella phenylpyruvica","alias",2
"Moraxella urethralis","alias",2
"Morganella morganii morganii",,3
"Morganella morganii sibonii",,3
"Moryella indoligenes",,4
"Murdochiella asaccharolytica",,4
"Mycbacterium africanum",,2
"Mycobacterium avium",,2
"Mycobacterium bovis",,1
"Mycobacterium canettii",,1
"Mycobacterium caprae",,1
"Mycobacterium chimaera",,3
"Mycobacterium chubuense",,3
"Mycobacterium colombiense",,3
"Mycobacterium conceptionense",,3
"Mycobacterium confluentis",,3
"Mycobacterium conspicuum",,3
"Mycobacterium cookii",,3
"Mycobacterium cosmeticum",,3
